created_at,text,links,@person
2016-06-22,API support for 140 second video upload https://t.co/zS8cEXrIdX,https://t.co/zS8cEXrIdX,
2016-06-07,"The recent oEmbed updates for timelines make adding them to your site even easier, details here 👇 https://t.co/rxHbAfTcb8",https://t.co/rxHbAfTcb8,
2016-06-03,@twitterapi This change is now in effect. iOS Twitter Kit users should now be using v1.15.3 or newer. For questions: https://t.co/JPlzzfg9Yr,https://t.co/JPlzzfg9Yr,@twitterapi
2016-05-31,"RT @AdsAPI: Twitter Ads SDK for Ruby v1.0.0, with #AdsAPIv1 support is now available! https://t.co/XUQjKa5s2B",https://t.co/XUQjKa5s2B,@AdsAPI
2016-05-27,Announcing oEmbed support for embedded timelines https://t.co/7WPKgoBENs,https://t.co/7WPKgoBENs,
2016-05-24,Information on the upcoming changes to Tweets is now on the developer site https://t.co/V8PTcAL9Cs,https://t.co/V8PTcAL9Cs,
2016-05-20,The disruption to https://t.co/tLBVlxZilk logins is resolved. Sorry for the short issue!,https://t.co/tLBVlxZilk,
2016-05-20,We are investigating a temporary issue affecting login for app management on https://t.co/tLBVlxZilk,https://t.co/tLBVlxZilk,
2016-05-13,The Streaming API has been fully operational. We’ve fixed an issue that incorrectly reported its status this week. https://t.co/vSEnUALL8e,https://t.co/vSEnUALL8e,
2016-05-03,"MP4 URLs in the Tweet payload will be retired on Aug 1. If used, switch over to HLS URLs at your convenience. More: https://t.co/v1nOOdkucr",https://t.co/v1nOOdkucr,
2016-04-21,See this developer forum post for important updates if you currently implement a player card on your website. https://t.co/HG9laN1LWu,https://t.co/HG9laN1LWu,
2016-04-11,"""RT @TwitterDev: Twitter Ads API Challenge: Build great advertising tools for a shot at $250,000 $API.tw https://t.co/Peexsv5TLE",https://t.co/Peexsv5TLE,@TwitterDev
2016-04-08,"We've enhanced the documentation around our Media APIs, for upload and alt text support https://t.co/obNBSSS5H2",https://t.co/obNBSSS5H2,
2016-04-06,"Improved image sizes coming soon to the API. Details here on the dev forums, https://t.co/ivGr2Y2Pbx and on the blog https://t.co/dduQ4dVwa7",https://t.co/ivGr2Y2Pbx,
2016-03-29,Full documentation for the API around the new alt text feature is coming soon. https://t.co/zTij0XByHF,https://t.co/zTij0XByHF,
2016-03-03,"RT @TwitterDev: Now live: a modern new embedded timeline with more flexibility, rich media, new cards &amp; more https://t.co/bPBUAKgyxI https:…",https://t.co/bPBUAKgyxI,@TwitterDev
2016-03-03,"RT @AdsAPI: Announcing #AdsAPIv1, available March 15th. v0 will no longer be supported after June 15th https://t.co/vO9JLKDKeX",https://t.co/vO9JLKDKeX,@AdsAPI
2016-02-25,Deprecation of XML response type for single Tweet oEmbed - details of changes required to affected code here -&gt; https://t.co/PJrqvzMEIJ,https://t.co/PJrqvzMEIJ,
2016-02-25,"RT @AdsAPI: Later this quarter we’ll begin to version changes we make to the #AdsAPI for a better, more predictable DX https://t.co/VnyBdsV…",https://t.co/VnyBdsV…,@AdsAPI
2016-02-23,"Update: our migration to 64-bit snowflake IDs is complete - saved searches, users and list IDs are now all 64-bit. https://t.co/brVAwDIQT5",https://t.co/brVAwDIQT5,
2016-01-26,"As announced in 2013, we're completing retirement of our v1 APIs. See our post for timeline &amp; migration information: https://t.co/aNbMsNNkoY",https://t.co/aNbMsNNkoY,
2016-01-20,RT @TwitterDev: Announcing our #HelloWorld Tour -- Join us! https://t.co/m8ZjGu7Kpg https://t.co/ondOESIH1O,https://t.co/m8ZjGu7Kpg,@TwitterDev
2015-11-24,Additional 64-bit entity ID migration coming in Feb 2016 https://t.co/eQIGvw1rsJ,https://t.co/eQIGvw1rsJ,
2015-10-13,RT @AdsAPI: Twitter is experiencing issues in  chunked media uploads through the API. https://t.co/4wOEgWr8Zb,https://t.co/4wOEgWr8Zb,@AdsAPI
2015-10-09,How the USGS uses Twitter data to track earthquakes https://t.co/qSiD5MgIST,https://t.co/qSiD5MgIST,
2015-09-21,"Announcement: moving http://t.co/EdkFYYfddt to HTTPS only for new links, from October 1 https://t.co/dkgaQ23Klw",https://t.co/dkgaQ23Klw,
2015-09-15,"RT @AdsAPI: Release: Twitter Ads API SDK for Ruby v0.2.1 has been released, you can read more about it here: https://t.co/5B3kw7AKQu",https://t.co/5B3kw7AKQu,@AdsAPI
2015-08-13,The temporary widget rendering issue should be resolved https://t.co/233DhE6lOm,https://t.co/233DhE6lOm,
2015-07-22,RT @TwitterDev: Our developer conference is back! Join us at Twitter @Flight on October 21 in San Francisco: https://t.co/wEiNu8lAt9 http:/…,https://t.co/wEiNu8lAt9,@TwitterDev@Flight
2015-07-15,Update to plans to roll out longer DMs - including how to test in your apps https://t.co/MCq1s51ZaF,https://t.co/MCq1s51ZaF,
