id,created_at,text
752898840290791425,2016-07-12 16:14:06,"RT @TwitterDev: As of today, the REST API will return alt text with a Tweet by default. Use of the 'include_ext_alt_text' parameter is no l…"
745596132462571520,2016-06-22 12:35:45,API support for 140 second video upload https://t.co/zS8cEXrIdX
740204101112365056,2016-06-07 15:29:44,"The recent oEmbed updates for timelines make adding them to your site even easier, details here 👇 https://t.co/rxHbAfTcb8"
738734277123309569,2016-06-03 14:09:11,@twitterapi This change is now in effect. iOS Twitter Kit users should now be using v1.15.3 or newer. For questions: https://t.co/JPlzzfg9Yr
737583864801955840,2016-05-31 09:57:51,"RT @AdsAPI: Twitter Ads SDK for Ruby v1.0.0, with #AdsAPIv1 support is now available! https://t.co/XUQjKa5s2B"
736201038013812737,2016-05-27 14:23:00,Announcing oEmbed support for embedded timelines https://t.co/7WPKgoBENs
735128881808691200,2016-05-24 15:22:38,Information on the upcoming changes to Tweets is now on the developer site https://t.co/V8PTcAL9Cs
733680405824602112,2016-05-20 15:26:54,The disruption to https://t.co/tLBVlxZilk logins is resolved. Sorry for the short issue!
733663639002042368,2016-05-20 14:20:17,We are investigating a temporary issue affecting login for app management on https://t.co/tLBVlxZilk
731219141630234624,2016-05-13 20:26:43,The Streaming API has been fully operational. We’ve fixed an issue that incorrectly reported its status this week. https://t.co/vSEnUALL8e
727606098396631040,2016-05-03 21:09:46,"MP4 URLs in the Tweet payload will be retired on Aug 1. If used, switch over to HLS URLs at your convenience. More: https://t.co/v1nOOdkucr"
723223978471358464,2016-04-21 18:56:47,See this developer forum post for important updates if you currently implement a player card on your website. https://t.co/HG9laN1LWu
719588211601711108,2016-04-11 18:09:33,"RT @TwitterDev: Twitter Ads API Challenge: Build great advertising tools for a shot at $250,000 $API.tw https://t.co/Peexsv5TLE
https://t.c…"
718458527275229184,2016-04-08 15:20:35,"We've enhanced the documentation around our Media APIs, for upload and alt text support https://t.co/obNBSSS5H2"
717696904906350592,2016-04-06 12:54:10,"Improved image sizes coming soon to the API. Details here on the dev forums, https://t.co/ivGr2Y2Pbx and on the blog https://t.co/dduQ4dVwa7"
714866168243351552,2016-03-29 17:25:50,Full documentation for the API around the new alt text feature is coming soon. https://t.co/zTij0XByHF
705441724689223680,2016-03-03 17:16:28,"RT @TwitterDev: Now live: a modern new embedded timeline with more flexibility, rich media, new cards &amp; more https://t.co/bPBUAKgyxI https:…"
705441673430626304,2016-03-03 17:16:16,"RT @AdsAPI: Announcing #AdsAPIv1, available March 15th. v0 will no longer be supported after June 15th https://t.co/vO9JLKDKeX"
702853637182251010,2016-02-25 13:52:20,Deprecation of XML response type for single Tweet oEmbed - details of changes required to affected code here -&gt; https://t.co/PJrqvzMEIJ
702852050602889216,2016-02-25 13:46:01,"RT @AdsAPI: Later this quarter we’ll begin to version changes we make to the #AdsAPI for a better, more predictable DX https://t.co/VnyBdsV…"
702152376673824768,2016-02-23 15:25:46,"Update: our migration to 64-bit snowflake IDs is complete - saved searches, users and list IDs are now all 64-bit. https://t.co/brVAwDIQT5"
692055909007282176,2016-01-26 18:46:01,"As announced in 2013, we're completing retirement of our v1 APIs. See our post for timeline &amp; migration information: https://t.co/aNbMsNNkoY"
689888780787015680,2016-01-20 19:14:37,RT @TwitterDev: Announcing our #HelloWorld Tour -- Join us! https://t.co/m8ZjGu7Kpg https://t.co/ondOESIH1O
673922605531951105,2015-12-07 17:50:44,"@TheNiceBot aww thanks, you're lovely too! :-)"
669077021138493440,2015-11-24 08:56:07,Additional 64-bit entity ID migration coming in Feb 2016 https://t.co/eQIGvw1rsJ
661565287020568576,2015-11-03 15:27:10,"RT @TwitterDev: Hearts are here! The REST and Streaming API paths and properties remain unchanged.
https://t.co/R6AjSSKysq"
655139342613004288,2015-10-16 21:52:45,The streaming endpoints are returning to normal.
655116638522466304,2015-10-16 20:22:32,We are working to resolve some 4xx and 5xx API issues.
654776995541192705,2015-10-15 21:52:55,The Streaming API endpoints are returning to normal after the earlier connection issues.
